pos_ud	lemma	author_proficiency_level	count
SCONJ	che	B1	2482
SCONJ	che	A2	1291
SCONJ	che	B2	1147
SCONJ	perché	B1	995
SCONJ	se	B1	763
SCONJ	perché	A2	597
SCONJ	quando	B1	496
SCONJ	perché	B2	460
SCONJ	se	B2	398
SCONJ	se	A2	316
SCONJ	quando	A2	300
SCONJ	che	unknown	236
SCONJ	quando	B2	213
SCONJ	che	C1	212
SCONJ	perché	unknown	115
SCONJ	come	B1	107
SCONJ	perché	C1	82
SCONJ	se	C1	77
SCONJ	che	C2	70
SCONJ	se	unknown	53
SCONJ	come	B2	51
SCONJ	dopo	B1	46
SCONJ	quando	unknown	44
SCONJ	mentre	B1	43
SCONJ	dopo	B2	39
SCONJ	quando	C1	39
SCONJ	come	A2	34
SCONJ	mentre	B2	33
SCONJ	se	C2	30
SCONJ	perché	C2	25
SCONJ	mentre	A2	23
SCONJ	cosa	B1	17
SCONJ	finché	B1	17
SCONJ	come	C1	15
SCONJ	perchè	A2	15
SCONJ	che	A1	13
SCONJ	dopo	A2	13
SCONJ	siccome	B2	13
SCONJ	dopo	C1	12
SCONJ	perchè	B1	12
SCONJ	cosa	A2	9
SCONJ	quando	C2	9
SCONJ	perché	A1	9
SCONJ	cosa	B2	8
SCONJ	siccome	B1	8
SCONJ	mentre	C1	8
SCONJ	come	C2	6
SCONJ	finché	B2	6
SCONJ	siccome	C2	5
SCONJ	mentre	unknown	5
SCONJ	siccome	unknown	4
SCONJ	com'	A2	4
SCONJ	perchè	unknown	4
SCONJ	finché	A2	4
SCONJ	perchè	B2	4
SCONJ	come	unknown	3
SCONJ	dopo	unknown	3
SCONJ	com'	B1	3
SCONJ	dopo	C2	3
SCONJ	siccome	C1	3
SCONJ	quando	A1	3
SCONJ	sebbene	B1	3
SCONJ	mentre	C2	3
SCONJ	essere	B1	3
SCONJ	siccome	A2	2
SCONJ	quanto	B2	2
SCONJ	affinché	B1	2
SCONJ	essere	B2	2
SCONJ	dopodiché	C1	2
SCONJ	finché	C1	2
SCONJ	perciò	B1	2
SCONJ	perciò	B2	2
SCONJ	poiché	A2	1
SCONJ	poiché	B1	1
SCONJ	poiché	B2	1
SCONJ	poiché	C1	1
SCONJ	poiché	C2	1
SCONJ	anziché	C1	1
SCONJ	Se	unknown	1
SCONJ	benché	B1	1
SCONJ	se	A1	1
SCONJ	dove	A2	1
SCONJ	dove	B1	1
SCONJ	dove	B2	1
SCONJ	quanto	C1	1
SCONJ	affinché	B2	1
SCONJ	affinché	C2	1
SCONJ	iperché	B2	1
SCONJ	Quando	unknown	1
SCONJ	essere	C1	1
SCONJ	com'é	A2	1
SCONJ	cos'è	A2	1
SCONJ	cos'è	B2	1
SCONJ	perché	B1	1
SCONJ	comunque	B1	1
SCONJ	comunque	B2	1
SCONJ	finché	unknown	1
SCONJ	poiché	B2	1
SCONJ	dopodiché	B1	1
SCONJ	dopodiché	B2	1
SCONJ	appena	B2	1
SCONJ	poiché	unknown	1
SCONJ	perciò	C1	1
