#1|tok_pos	#1|spanned text	meta|_rating_fair_cefr	count
CON	e	B1	1163
CON	e	A2	376
CON	e	B1+	232
CON	e	A2+	212
CON	ma	B1	185
CON	se	B1	143
CON	perchè	B1	107
CON	o	B1	99
CON	Ma	B1	82
CON	ma	A2	79
CON	perché	B1	73
CON	Che	A2	62
CON	come	B1	60
CON	quando	B1	56
CON	o	A2	54
CON	Se	B1	54
CON	E	B1	53
CON	come	A2	47
CON	E	A2	43
CON	o	A2+	41
CON	ed	B1	40
CON	Ma	A2	38
CON	ma	A2+	38
CON	Quando	A2	29
CON	e	A1	27
CON	Che	B1	27
CON	perchè	A2+	25
CON	Ma	A2+	24
CON	che	B1	24
CON	perchè	A2	23
CON	perché	A2	23
CON	Quando	B1	22
CON	quando	A2	22
CON	ma	B1+	21
CON	se	B1+	21
CON	perché	B1+	19
CON	oppure	B1	18
CON	o	B1+	18
CON	se	A2+	18
CON	ed	B1+	17
CON	come	B1+	15
CON	Che	A2+	14
CON	fino	B1	14
CON	se	A2	13
CON	Ma	B1+	13
CON	Se	B1+	13
CON	quando	A2+	13
CON	perché	A2+	12
CON	E	A2+	12
CON	come	A2+	12
CON	Come	A2	11
CON	Come	B1	11
CON	Se	A2+	10
CON	Perché	B1	10
CON	perchè	B1+	9
CON	e	B2	9
CON	che	A2	9
CON	sia	B1+	9
CON	Se	A2	8
CON	sia	B1	8
CON	Perchè	B1	8
CON	Quando	A2+	7
CON	Mentre	B1	7
CON	visto	B1	7
CON	ed	A2	7
CON	ed	A2+	7
CON	così	B1	7
CON	quando	B1+	7
CON	Perchè	A2	7
CON	oppure	A2+	5
CON	prima	B1	5
CON	tanto	B1	5
CON	O	A2	5
CON	O	B1	5
CON	E	B1+	5
CON	per	B1	5
CON	Come	B1+	5
CON	come	A1	5
CON	siccome	B1	5
CON	Oppure	B1	5
CON	oppure	A2	4
CON	che	A2+	4
CON	Siccome	B1	4
CON	Quando	A1	3
CON	Quando	B1+	3
CON	Visto	B1	3
CON	oppure	B1+	3
CON	visto	A2+	3
CON	perché	B2	3
CON	E	A1	3
CON	per	A2	3
CON	Come	A2+	3
CON	com'	B1	3
CON	dopo	B1	3
CON	fino	A2	3
CON	Siccome	B1+	3
CON	quando	A1	3
CON	Perché	A2	3
CON	Visto	B1+	2
CON	Mentre	A2	2
CON	prima	A2	2
CON	prima	B1+	2
CON	e	unrated	2
CON	O	A2+	2
CON	ed	A1	2
CON	ma	A1	2
CON	CHE	B1	2
CON	Che	B1+	2
CON	che	B1+	2
CON	sia	A2+	2
CON	fino	A2+	2
CON	Oppure	A2	2
CON	mentre	B1	2
CON	mentre	A2+	2
CON	SICCOME	B1	2
CON	Perchè	A2+	2
CON	Perché	A2+	2
CON	Benché	B1	2
CON	VISTO	B1	1
CON	Visto	A2+	1
CON	Mentre	A2+	1
CON	Qualora	B1	1
CON	oltre	B1	1
CON	oltre	B1+	1
CON	tanto	A2	1
CON	visto	B1+	1
CON	perché	A1	1
CON	cosicché	A2+	1
CON	OPPURE	A2	1
CON	poiché	B1	1
CON	poiché	A2+	1
CON	anzichè	A2	1
CON	anzichè	A2+	1
CON	per	unrated	1
CON	benché	B1	1
CON	e		1
CON	o		1
CON	a	B1	1
CON	o	B2	1
CON	Ma	B2	1
CON	SE	A2	1
CON	SE	B1	1
CON	ma	B2	1
CON	se	A1	1
CON	se	B2	1
CON	MA	A2+	1
CON	SE	B1+	1
CON	né	A2+	1
CON	CHE	A2	1
CON	Che	A1	1
CON	CHE	B1+	1
CON	ché	A2	1
CON	ché	B1	1
CON	ché	A2+	1
CON	per	A1	1
CON	per	A2+	1
CON	PERCHÉ	A2	1
CON	Come		1
CON	Dopo	B1	1
CON	Fino	B1	1
CON	come		1
CON	com'	A2	1
CON	fino	B1+	1
CON	siccome	B1+	1
CON	Siccome	A2	1
CON	Siccome	A2+	1
CON	Perchè	unrated	1
CON	nonostante	B1	1
CON	sebbene	B1+	1
CON	Sebbene	B1	1
CON	Perchè	A1	1
CON	Perché	A1	1
CON	Perchè	B1+	1
CON	Perché	B1+	1
CON	Poiché	B1	1
CON	Purché	B1	1
